Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Saudicomsat-7,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0,650,736,0.00609,97.8,98.6,12,,,4/17/2007,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012C,31119
Saudisat 1C,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,603,702,0.00705,64.6,97.8,10,,,12/20/2002,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2002-058C,27607
Saudisat-2 ,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,696,734,0.00268,97.9,99.1,35,35,,6/29/2004,,Riyadh Space Research Institute,Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025F,28371
Saudisat-3,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,656,677,0.00149,97.8,98.1,200,,,4/17/2007,,King Abdulaziz City for Science and Technology,Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012B,31118
Saudisat-4,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Space Science,,LEO,Sun-Synchronous,0,613,682,0.00492,97.98,97.68,100,,,6/19/2014,,King Abdulaziz City for Science and Technology/Stanford University,Saudi Arabia,Dombarovsky Air Base,Dnepr,2014-033G,40016
USA 230,USA,US Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,-96.84,35778,35795,0.000202,6.45,1436.11,4500,,,5/7/2011,12,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2011-019A,37481
USA 241,USA,US Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,,35770,35790,0.000237,6.45,1436.11,4500,,,3/19/2013,12,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-011A,39120
USA 216,USA,Strategic Space Command/Space Surveillance Network,USA,Military,Space Observation,,LEO,Sun-Synchronous,0,631,634,0.000214,98.02,97.36,1031,,,9/26/2010,,Boeing/Ball Aerospace,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168
USA 181,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1017,1203,0.0124,63.4,107.4,"5,000+",,,2/3/2005,,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537
USA 181,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1016,1203,0.0125,63.4,107.4,"5,000+",,,2/3/2005,,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541
USA 194,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1015,1200,0.0124,63.4,107.4,"5,000+",,,6/15/2007,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027A,31701
USA 194,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1016,1201,0.0124,63.4,107.4,"5,000+",,,6/15/2007,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027B,31708
USA 229,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1019,1205,0.0124,63.4,107.5,,,,4/15/2011,,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014A,37386
USA 229,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1201,0.0125,63.4,107.4,"5,000+",,,4/15/2011,,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014B,37391
USA 238,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1012,1203,0.0128,63.4,107.4,6500,,,9/13/2012,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048A,38758
USA 238,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1012,1203,0.0128,63.4,107.4,6500,,,9/13/2012,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048P,38773
USA 264,NR,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,0.00572,63.4,107.4,6500,,,10/8/2015,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058A,40964
USA 264,NR,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,Electronic Intelligence,LEO,Non-Polar Inclined,0,1014,1099,0.00572,63.4,107.4,6500,,,10/8/2015,,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058R,40981
SCD-1,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0,716,776,0.00422,25,99.7,110,,70,2/9/1993,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491
SCD-2,NR,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,,735,760,0.00176,25,99.8,110,,70,10/23/1998,3,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504
Scisat-1,Canada,Canadian Space Agency,Canada,Government,Space Science,,LEO,Polar,0,638,649,0.000784,73.9,97.6,150,,80,8/12/2003,,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858
S-Cube,NR,"Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University",Japan,Civil,Technology Development,,LEO,Non-Polar Inclined,,397,408,0.000812,51.64,92.61,4,,,9/17/2015,,Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology and Tohoku University,Japan,International Space Station,Cubesat Deployer,1998-067GY,40898
SDO,USA,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,,GEO,,-102,35779,35791,0.000142,28,1436.03,3100,1650,1500,2/11/2010,5,Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2010-005A,36395
USA 179,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Data Relay,Elliptical,Molniya,0,500,39850,0.741,63.4,717.7,,,,8/31/2004,7-10,Hughes,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384
USA 198,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Data Relay,Elliptical,Molniya,0,400,39966,0.745,60,718,,,,12/10/2007,7-10,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378
USA 227,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Data Relay,GEO,,-30.4,35770,35803,0.000391,4.92,14.36,,,,3/2/2011,,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377
USA 236,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Data Relay,GEO,,,35771,35805,0.000403,4.91,23.94,,,,6/20/2012,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466
USA 252,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Data Relay,GEO,,0,35500,35500,0,4,23,,,,5/22/2014,,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751
SDS-4,Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,0.000853,98.2,98.1,50,48,120,5/17/2012,2,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339
SEEDS 2,Japan,Nihon University,Japan,Civil,Technology Development,,LEO,Sun-Synchronous,0,607,627,0.00143,97.8,97,3,,,4/28/2008,,Nihon University,Japan,Satish Dhawan Space Center,PSLV C9,2008-021J,32791
Sentinel 1A,ESA,EUMETSAT,ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,691,693,0.000142,98.16,98.61,2300,2146,,4/3/2014,7,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634
Sentinel 1B,NR,EUMETSAT,ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,695,697,0.000142,98.1,98.7,2300,2146,,4/25/2016,7,Thales Alenia Space,France,Guiana Space Center,Soyuz 2.1a,2016-025A,41456
Sentinel 2A,NR,EUMETSAT,ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,787,788,6.99E-05,98.5,100.62,2300,2146,,6/23/2015,7,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697
Sentinel 3A,NR,EUMETSAT,ESA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,802,804,0.000139,98.6,100.9,2300,2146,,2/16/2016,7,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335
SES-1,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,-101,35781,35793,0.000142,0.05,1436.1,,2561,5000,4/24/2010,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-016A,36516
SES-2,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,-87,35778,35798,0.000237,0.01,1436.19,3200,,5000,9/21/2011,15-18,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2011-049A,37809
SES-3,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,-103,35850,35852,2.37E-05,0.05,1439.41,3112,,,7/15/2011,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2011-035A,37748
SES-4,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,-22,35781,35792,0.00013,0.05,1436.1,,,20000,2/14/2012,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-007A,38087
SES-5,United Kingdom,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,5,35783,35791,9.49E-05,0.13,1436.12,6007,,,7/9/2012,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-036A,38652
SES-6,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,-40.5,35757,35816,0.0007,0.13,1436.09,6140,,,6/3/2013,15,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2013-026A,39172
SES-7,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,108.02,35783,35790,8.3E-05,0.03,1436.1,4007,,,5/16/2009,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941
SES-8,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,95,35777,35795,0.000213,0.02,1436.07,3138,,,12/3/2013,15,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2013-071A,39460
SES-9,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,,GEO,,108.02,35787,35791,4.74E-05,0.05,1436.2,5271,2835,12700,3/4/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-013A,41380
Shijian 11 01,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,686,703,0.0012,98.1,98.7,,,,11/12/2009,3,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088
Shijian 11 02,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,686,704,0.00127,98.2,98.7,,,,7/29/2011,,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765
Shijian 11 03,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,688,703,0.00106,98.2,98.7,,,,7/6/2011,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730
Shijian 11 05,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,689,704,0.00106,98.1,98.7,,,,7/15/2013,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202
Shijian 11 06,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,688,704,0.00113,98.26,98.69,,,,3/31/2014,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624
Shijian 11 07,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,687,705,0.00127,98.12,98.69,,,,9/28/2014,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261
Shijian 11 08,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,690,705,0.00106,98.2,98.6,,,,10/27/2014,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286
Shijian 12,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,583,601,0.00129,97.7,96.5,,,,6/15/2010,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596
Shijian 15,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,661,673,0.000853,98.06,98.08,,,,7/19/2013,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210
Shijian 16 01,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Polar,0,599,616,0.00122,74.98,96.85,,,,10/25/2013,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358
Shijian 16 02,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Polar,0,338,594,0.0187,75,96.81,,,,6/29/2016,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634
Shijian 6A,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,579,606,0.00194,97.8,96.5,,,,9/8/2004,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413
Shijian 6B,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,587,598,0.00079,97.8,96.5,,,,9/8/2004,2,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414
Shijian 6C,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,591,594,0.000215,97.7,96.5,,,,10/23/2006,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505
Shijian 6D,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,594,595,7.18E-05,97.7,96.6,,,,10/23/2006,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506
Shijian 6E,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,581,607,0.00187,97.6,96.6,,,,10/25/2008,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408
Shijian 6F,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,578,603,0.0018,97.6,96.5,,,,10/25/2008,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409
Shijian 6G,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,584,603,0.00136,97.7,96.6,,,,10/6/2010,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179
Shijian 6H,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,586,602,0.00115,97.7,96.6,,,,10/6/2010,,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180
Shijian 7,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,,LEO,Sun-Synchronous,0,534,591,0.00411,97.7,95.9,,,,7/5/2005,3,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737
Shijian 9A,China,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,623,650,0.00193,97.99,97.44,,,,10/14/2012,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860
Shijian 9B,China,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,,LEO,Sun-Synchronous,0,624,651,0.00193,97.99,97.46,,,,10/14/2012,,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861
Shiyan 1,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,586,601,0.00108,97.5,96.6,204,,,4/18/2004,,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220
Shiyan 3,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,785,803,0.00126,98.5,100.8,300,,,11/5/2008,,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433
Shiyan 4,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,784,802,0.00126,98.4,100.7,300,,,11/20/2011,,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931
Shiyan 5,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,,LEO,Sun-Synchronous,0,739,755,0.00112,97.9,99.7,204,,,11/25/2013,,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455
Shiyan 7,NR,Chinese Academy of Space Technology (CAST),China,Military,Technology Development,,LEO,Sun-Synchronous,0,668,672,0.000284,98.06,98.15,,,,7/19/2013,,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2013-037A,39208
Sicral 1A,Italy,Italian Defense Ministry,Italy,Military,Communications,,GEO,,16.25,35769,35802,0.000391,1.01,1436.06,2596,1263,3300,2/7/2001,10-12,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694
Sicral 1B,Italy,Italian Defense Ministry/Telespazio,Italy,Military/Commercial,Communications,,GEO,,11.8,35788,35802,0.000166,0.04,1436.52,3038,,,4/20/2009,10-12,Thales Alenia Space Italia,Italy,Sea Launch (Odyssey),Zenit 3SL,2009-020A,34810
Sicral 2/Syracuse 3C,NR,Italian Defense Ministry/French Defense Ministry,France/Italy,Military,Communications,,GEO,,37,35770,35800,0.000356,0,1436,4400,,7700,4/26/2015,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-022B,40614
Sinah-1,NR,Iranian Research Organization for Science and Technology (IROST),Iran,Government,Communications,,LEO,Sun-Synchronous,0,681,703,0.00156,97.9,98.6,170,,,10/27/2005,3,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893
SINOD D-1,NR,SRI International,USA,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,494,800,0.0218,64.78,97.67,2,,,10/8/2015,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058L,40974
SINOD D-3,NR,SRI International,USA,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,494,800,0.0218,64.78,97.66,2,,,10/8/2015,,SRI International,USA,Cape Canaveral,Atlas 5,2015-058P,40977
Sinosat-6,China,China Direct Broadcast Satellite co.,China,Commercial,Communications,,GEO,,0,35794,35796,2.37E-05,0.3,1436.1,5000,,,9/4/2010,15,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-042A,37150
Sirius-1 (SD Radio 1),USA,Sirius XM Holdings,USA,Commercial,Communications,,Elliptical,Molniya,0,23783,47100,0.279,63.3,1418.5,3727,1570,,6/30/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390
Sirius 2 (SD Radio 2),USA,Sirius XM Holdings,USA,Commercial,Communications,,Elliptical,Molniya,0,12849,47048,0.471,63.3,1148.43,3792,1570,,9/5/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483
Sirius 3 (SD Radio 3),USA,Sirius XM Holdings,USA,Commercial,Communications,,Elliptical,Molniya,0,6179,47086,0.62,63.4,994.83,3727,1570,,11/30/2000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626
Sirius 4,Sweden,SES Sirius AB,Sweden,Commercial,Communications,,GEO,,4.85,35776,35795,0.000225,0.04,1436.1,4400,,,11/17/2007,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299
Sirius FM-5,USA,Sirius XM Holdings,USA,Commercial,Communications,,GEO,,-96,35774,35798,0.000285,0,1436,5800,,20000,6/30/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493
Sirius FM-6,USA,Sirius XM Holdings,USA,Commercial,Communications,,GEO,,-115.2,35785,35791,7.12E-05,0.08,1436.16,6020,2975,20000,10/25/2013,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-058A,39360
Sirius XM-5,USA,Sirius XM Holdings,USA,Commercial,Communications,,GEO,,-85.2,35779,35795,0.00019,0.03,1436.12,5983,,18000,10/14/2010,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-053A,37185
Sky Mexico-1,NR,Sky Mexico,Mexico,Commercial,Communications,,GEO,,-79,35788,35800,0.000142,0,1436,3180,,,5/27/2015,18,Orbital ATK,USA,Guiana Space Center,Ariane 5 ECA,2015-026B,40664
Skynet 4C,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,-1.3,35775,35797,0.000261,13.6,1436.07,1474,850,1200,8/30/1990,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776
Skynet 4E,United Kingdom,Ministry of Defence,United Kingdom,Military,Communications,,GEO,,35.58,35774,35797,0.000273,4.99,1436.06,1510,759,1200,2/26/1999,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639
Skynet 4F,United Kingdom,Ministry of Defence,United Kingdom,Military,Communications,,GEO,,-34.04,35773,35801,0.000332,3.23,1436.15,1510,830,1200,2/7/2001,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,2001-005B,26695
Skynet 5A,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,-1.12,35771,35802,0.000368,0.07,1436.1,4700,2170,6000,3/11/2007,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2007-007B,30794
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,52.8,35700,35803,0.00122,0.07,1436.1,4635,2170,6000,11/14/2007,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294
Skynet 5C,United Kingdom,Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,-17.83,35770,35803,0.000391,0.53,1436.1,4600,,,6/12/2008,,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2008-030A,33055
Skynet 5D,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,,GEO,,25,35786,35793,8.3E-05,0.07,1436.24,4638,,,12/19/2012,15,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2012-075A,39034
SkySat-1,USA,Terra Bella,USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,567,599,0.0023,97.81,96.34,,,,11/21/2013,,Skybox Imaging,USA,Dombarovsky Air Base,Dnepr,2013-066C,39418
SkySat-2,NR,Terra Bella,USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,626,634,0.000571,98.4,97.31,90,,,7/8/2014,,Skybox Imaging,USA,Baikonur Cosmodrome,Soyuz-2.1b,2014-037D,40072
SkySat-3,NR,Terra Bella,USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,515,0.00109,97.5,94.78,110,,,6/22/2016,,Space Systems/Loral,USA,Satish Dhawan Space Center,PSLV XL,2016-040C,41601
SkyTerra 1,USA,LightSquared,USA,Commercial,Communications,,GEO,,-101.3,35782,35791,0.000107,6.06,1436.09,5360,3200,,11/14/2010,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2010-061A,37218
USA 119,USA,National Reconnaissance Office (NRO),USA,Military,Communications,,Elliptical,Molniya,0,1200,11600,0.407,63.4,240,,,,5/12/1996,,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893
SMAP,NR,National Aeronautics and Space Administration (NASA),USA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,660,686,0.00185,98.13,98.21,,,,1/31/2015,3,Jet Propulsion Laboratory (NASA),USA,Vandenberg AFB,Delta 2,2015-003A,40376
SMDC-ONE 1.1,USA,US Army Space and Missile Defense Command,USA,Military,Technology Development,,LEO,Non-Polar Inclined,0,495,791,0.0211,64.6,97.5,5,,,9/13/2012,,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048J,38766
SMDC-ONE 1.2,USA,US Army Space and Missile Defense Command,USA,Military,Technology Development,,LEO,Non-Polar Inclined,0,483,789,0.0218,64.6,97.4,3,,,9/13/2012,,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048B,38759
SMDC-ONE 2.3,NR,US Army Space and Missile Defense Command,USA,Military,Technology Development,,LEO,Polar,0,443,886,0.0315,120.3,98,5,,,12/6/2013,,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072N,39474
